all_metrics_no_bins
all_metrics,,,,,,,,,,,,,,
,Z0_opt_bins_val,Z0_opt_bins_train,Z0_opt_bins_test,Z0unc_opt_bins_val,Z0unc_opt_bins_train,Z0unc_opt_bins_test,Z0_40bins_val,Z0_40bins_train,Z0_40bins_test,rel_ewww_highest_bin_val,rel_ewww_highest_bin_train,rel_ewww_highest_bin_test,learning_rate,weight_EWWW
dropout-02-5-fold-aggressive-lr-schedule-2-fine-scan-ewww-scan-etafix/210805_10_0.2_40739518752614438,9.445760407054050,10.069015015651500,9.3740951572443,6.5230771299792300,6.40935531343836,6.4382054168113500,9.665390661326970,9.553878818266080,9.886020601207100,0.1800801847083,0.17568062684753900,0.186663291360699,10,0.2
dropout-02-5-fold-aggressive-lr-schedule-2-fine-scan-ewww-scan-etafix/210805_12_0.05_3982367734195623497,10.0692426354782,11.070239242878400,9.905026315854220,7.098654752157350,6.9108434879109100,6.848025722430230,10.359980912511100,10.32519103765900,10.33697729859330,0.26105593760286200,0.27258848506221000,0.2453041153613440,12,0.05
dropout-02-5-fold-aggressive-lr-schedule-2-fine-scan-ewww-scan-etafix/210805_9_0.14_4175965621274401633,9.6031970242051,10.42974503036,9.58436349075722,6.76498543351163,6.57914158165299,6.69483603393858,10.0879998172068,9.77100306128813,9.91283079016063,0.183082528689265,0.180317500815587,0.194095662117162,9,0.14
dropout-02-5-fold-aggressive-lr-schedule-2-fine-scan-ewww-scan-etafix/210805_15_0.12_4396000546677424299,8.53276356144972,5.627346958364020,8.47564555671406,5.78928297690333,2.899965644928290,5.938540514304370,8.824792969587180,8.37353493707523,8.87234328039115,0.17733147352396300,-0.35726083447847400,0.1901883115691270,15,0.12
dropout-02-5-fold-aggressive-lr-schedule-2-fine-scan-ewww-scan-etafix/210805_10_0.16_6748666780367530062,9.606741574741440,10.58064061479150,9.504425724530560,6.801235747329180,6.378592927283390,6.692967019201840,9.842545411628080,9.948536082140610,9.79118332978488,0.18947400150825400,0.1847218102358100,0.19767422883823100,10,0.16
dropout-02-5-fold-aggressive-lr-schedule-2-fine-scan-ewww-scan-etafix/210805_5_0.16_8394867463752786804,9.633976185774120,6.584683936832850,9.238311740420830,6.135816495294230,3.419199402986700,6.2278931693534600,9.987964964924000,9.149553731693300,9.84680542236205,0.22770616455136200,-0.2661023733543880,0.18405191585564900,5,0.16
dropout-02-5-fold-aggressive-lr-schedule-2-fine-scan-ewww-scan-etafix/210805_8_0.1_3900285535213632726,9.703912915829170,10.57169999161800,9.75623756859082,6.775442137382970,6.603190132482850,6.758520463536480,10.09116661134230,10.080004192553500,10.079487365301800,0.20456765160572400,0.21371256745989100,0.2168770189446890,8,0.1
dropout-02-5-fold-aggressive-lr-schedule-2-fine-scan-ewww-scan-etafix/210805_20_0.05_7874919115767289054,9.668855966146180,7.236363605785560,9.419260742162380,6.889310420505590,4.82890882597199,6.4922445742733000,10.02485381195310,9.323209268568980,9.929374192782850,0.21817377926439300,-0.4298994133804140,0.22002173719285000,20,0.05
dropout-02-5-fold-aggressive-lr-schedule-2-fine-scan-ewww-scan-etafix/210805_9_0.1_3800438568640560694,9.693713458551190,12.803639603123100,9.650588489614940,6.708227070729660,5.781013302207660,6.83343225470121,10.00972317890580,9.52370644210389,9.974682218983360,0.21644367357030900,0.22562657235657900,0.23192492114690900,9,0.1
dropout-02-5-fold-aggressive-lr-schedule-2-fine-scan-ewww-scan-etafix/210805_9_0.06_5994208821689055841,9.734348545404370,6.743538242420920,9.774280577892510,6.7212929018784400,4.3142415780398,6.907101613316790,10.18084956755360,8.89130310326005,10.143464037150200,0.226240720987933,-0.5964166914450200,0.2584369719478590,9,0.06
